"円周率(ライプニッツの公式)","sum((-1^[@])/([@]*2+1),0,[n])*4","π=4*(1-1/3+1/5-1/7+1/9....)を用いて円周率ゅ(3.14159265...)を求める [n]を大きくすると精度が上がる"
"円周率(マーチンの公式)","4*(4*sum((-1)^[@]*(1/5)^(2*[@]+1)/(2*[@]+1),0,[n])-sum((-1)^[@]*(1/239)^(2*[@]+1)/(2*[@]+1),0,[n]))","π=4*(4*arctan(1/5)-arctan(1/239))を用いて円周率(3.1415926535897932384...)を求める [n]を大きくすると精度が上がる"
"自然対数の底","sum(1/fact([@]),0,[n])",""
"2次元平面のベクトルのなす角度","DEG(acos(([a1]*[b1]+[a2]*[b2])/(sqrt([a1]^2+[a2]^2)*sqrt([b1]^2+[b2]^2))))","二つのベクトル a(a1,a2)、b(b1,b2)のなす角度"
"3次元空間のベクトルのなす角度","DEG(acos(([a1]*[b1]+[a2]*[b2]+[a3]*[b3])/(sqrt([a1]^2+[a2]^2+[a3]^2)*sqrt([b1]^2+[b2]^2+[b3]^2))))","二つのベクトル a(a1,a2,a3)、b(b1,b2,b3)のなす角度"
"dB変換","20*log([数値])",""
"dB数値変換","10^([dB]/20)",""
"メルカトル図法による緯線までの距離","[赤道半径]*(atanh(sin([緯度]))-sqrt([扁平率]*(2-[扁平率]))*atanh(sqrt([扁平率]*(2-[扁平率]))*sin([緯度])))","計算式を入れて[計算]ボタンを押すと計算します。タイトルで登録されている計算式が選択できます。"
"時間→秒変換","[時]*3600+[分]*60+[秒]",""
"複利計算","[元金]*(1+[年利率])^[年数]",""
"アルキメディスの円周率","repeat(sqrt(2-sqrt(4-[%]^2)),1,1,[n*6角形])*6*2^([n*6角形]-1)","6角形の弦の長さから倍の12角形の弦の求めることを繰り返して多角形の弦の長さから円周率を求める。画数が多いほど制度が上がる。多角形の角数は n*6*2^(n-1)となる(n < 26)"
"準ユリウス日(MJD)","floor(365.25*([年]-gt([月],3))+([年]-gt([月],3))/400-([年]-gt([月],3))/100+30.59*(gt([月],3)*12+[月]-2)+[日])+1721088.5-2400000.5","グレゴリオ暦（1582年10月15日以降）の西暦年をY、月をM、日をDとする。"
"ユリウス日を求める","JD([年],[月],[日])","ユリウス日（Julian Day、JD）とは、ユリウス暦紀元前4713年1月1日、すなわち西暦 -4712年1月1日の正午（世界時）からの日数である"
"グリニッジ恒星時","24*((0.671262+1.0027379094*(julianDay([年],[月],[日])-2400000.5-40000))%1)","グリニッジ恒星時とは、経度０°において、南中している星の赤経(時単位(hh.hhhh))"
"度→ラジアン(Rad)","[度]*PI/180","度(dd.dddd)をラジアン(Rad)に変換する"
"度分秒→度","[度]+[分]/60+[秒]/3600","度分秒を度(dd.dddd)に変換する"
"度→度分秒","floor([度])+floor(([度]%1)*60)/100+floor((([度]*60)%1)*60)/10000","度(dd.dddd)を度分秒(dd.mmss)に変換する"
"時分秒→度","([時]+[分]/60+[秒]/3600)*360/24","時分秒を度(dd.dddd)に変換する"
"時分秒→時","[時]+[分]/60+[秒]/3600","時分秒を時(hh.hhhh)に変換する"
"TEST","[T];[T}=10*3","計算式を入れて[計算]ボタンを押すと計算します。タイトルで登録されている計算式が選択できます。"
"時→時分秒","floor([時])+floor(([時]%1)*60)/100+floor((([時]*60)%1)*60)/10000",""
"時→ラジアン(Rad)","[時]*PI/12.0","時(hh.hhhh)をラジアン(Rad)に変換する"
"ユリウス日から西暦日時を求める","JD2Date([ユリウス日])",""
